rank,mp_id,mp_name,state,constituency,party,total_works,anomalous_works,anomaly_rate_pct,avg_cost_overrun_pct,avg_delay_days,inspection_rate_pct,utilization_pct,risk_score,risk_tier
1,1,Bishnu Pada Ray,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,TDP,38,26,68.42,8.46,59.7,55.26,46.24,100,Moderate Risk
2,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,ANANTAPUR,INC,17,15,88.24,27.62,83.4,70.59,49.22,100,Moderate Risk
3,3,Appalanaidu Kalisetti,Andhra Pradesh,VIZIANAGARAM,BJP,15,8,53.33,6.3,67.9,66.67,66.03,100,Clean / Exemplary
4,4,B K Parthasarathi,Andhra Pradesh,HINDUPUR,INC,17,11,64.71,9.41,75.7,70.59,69.03,100,Clean / Exemplary
5,5,Balashowry Vallabbhaneni,Andhra Pradesh,MACHILIPATNAM,BJP,24,15,62.5,0.85,89.2,66.67,54.41,100,Moderate Risk
6,6,Bastipati Nagaraju Panchalingala,Andhra Pradesh,KURNOOL,BJP,27,17,62.96,6.99,86.4,74.07,42.76,100,Moderate Risk
7,7,Bhupathiraju Srinivasa Varma,Andhra Pradesh,NARASAPURAM,SHS,15,13,86.67,13.09,73.0,86.67,69.07,100,Clean / Exemplary
8,8,C.M.Ramesh,Andhra Pradesh,ANAKAPALLE,BJP,23,12,52.17,9.72,45.0,73.91,38.67,100,High Risk
9,9,Daggubati Purandeshwari,Andhra Pradesh,RAJAHMUNDRY,RJD,17,13,76.47,10.96,88.1,70.59,86.47,100,Clean / Exemplary
10,10,Daggumalla Prasada Rao,Andhra Pradesh,CHITTOOR,TMC,30,21,70.0,17.71,60.8,83.33,52.14,100,Moderate Risk
11,11,Dr Byreddy Shabari,Andhra Pradesh,NANDYAL,BJP,24,14,58.33,8.27,69.9,79.17,36.93,100,High Risk
12,12,Dr Chandra Sekhar Pemmasani,Andhra Pradesh,GUNTUR,BJP,48,33,68.75,11.39,78.0,60.42,62.68,100,Moderate Risk
13,13,Gm Harish Balayogi,Andhra Pradesh,AMALAPURAM(SC),BJP,29,20,68.97,13.34,65.5,51.72,34.55,100,High Risk
14,14,Gumma Thanuja Rani,Andhra Pradesh,ARAKU(ST),JDU,29,18,62.07,6.03,47.9,79.31,64.74,100,Moderate Risk
15,15,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,SRIKAKULAM,BJP,36,30,83.33,15.02,104.1,66.67,47.05,100,Moderate Risk
16,16,Krishna Prasad Tenneti,Andhra Pradesh,BAPATLA,INC,9,8,88.89,16.71,111.7,55.56,40.76,100,Moderate Risk
17,17,Lavu Sri Krishna Devarayalu,Andhra Pradesh,NARASARAOPET,INC,6,2,33.33,1.55,6.2,66.67,50.71,100,Moderate Risk
18,18,Maddila Gurumoorthy,Andhra Pradesh,TIRUPATI(SC),SP,6,2,33.33,3.25,66.8,66.67,44.31,100,Moderate Risk
19,19,Magunta Sreenivasulu Reddy,Andhra Pradesh,ONGOLE,BSP,23,16,69.57,15.56,103.7,69.57,43.58,100,Moderate Risk
20,20,Midhun Reddy,Andhra Pradesh,RAJAMPET,AAP,35,25,71.43,10.05,67.2,48.57,25.9,100,High Risk
21,21,Prabhakar Reddy Vemireddy,Andhra Pradesh,NELLORE(SC),BJD,46,27,58.7,8.75,28.3,65.22,72.93,100,Clean / Exemplary
22,22,Putta Mahesh Kumar,Andhra Pradesh,ELURU,TMC,18,14,77.78,20.94,35.6,77.78,41.44,100,Moderate Risk
23,23,Sivanath Kesineni,Andhra Pradesh,VIJAYAWADA,BJP,10,6,60.0,19.78,41.3,60.0,28.44,100,High Risk
24,24,Sribharat Mathukumli,Andhra Pradesh,VISAKHAPATNAM,BJP,22,13,59.09,5.87,53.1,72.73,42.09,100,Moderate Risk
25,25,Tangella Uday Srinivas,Andhra Pradesh,KAKINADA,BJP,56,31,55.36,5.83,67.0,67.86,45.3,100,Moderate Risk
26,26,Y S Avinash Reddy,Andhra Pradesh,KADAPA,BJP,38,21,55.26,8.9,88.5,73.68,51.24,100,Moderate Risk
27,27,Kiren Rijiju,Arunachal Pradesh,ARUNACHAL WEST,AAP,21,15,71.43,15.36,47.2,76.19,35.45,100,High Risk
28,28,Shri Tapir Gao,Arunachal Pradesh,ARUNACHAL EAST,YSR Congress,33,20,60.61,3.18,66.5,69.7,83.53,100,Clean / Exemplary
29,29,Amarsing Tisso,Assam,DIPHU (ST),BJP,33,24,72.73,10.95,86.8,66.67,81.0,100,Clean / Exemplary
30,30,Bijuli Kalita Medhi,Assam,GUWAHATI,TMC,14,8,57.14,9.27,33.0,71.43,54.48,100,Moderate Risk
31,31,Dilip Saikia,Assam,DARRANG-UDALGURI,INC,39,27,69.23,11.52,66.1,53.85,28.93,100,High Risk
32,32,Gaurav Gogoi,Assam,JORHAT,BJP,47,26,55.32,8.16,53.6,72.34,36.18,100,High Risk
33,33,Joyanta Basumatary,Assam,KOKRAJHAR (ST),INC,40,26,65.0,12.23,70.2,55.0,44.55,100,Moderate Risk
34,34,Kamakhya Prasad Tasa,Assam,KAZIRANGA,BJD,27,16,59.26,5.75,60.9,62.96,81.5,100,Clean / Exemplary
35,35,Kripanath Mallah,Assam,KARIMGANJ (SC),BJP,31,19,61.29,12.46,66.5,70.97,63.84,100,Moderate Risk
36,36,Parimal Suklabaidya,Assam,SILCHAR,BJP,35,20,57.14,6.24,75.8,62.86,57.7,100,Moderate Risk
37,37,Phani Bhusan Choudhury,Assam,BARPETA,DMK,15,11,73.33,13.45,65.0,80.0,52.56,100,Moderate Risk
38,38,Pradan Baruah,Assam,LAKHIMPUR,TMC,11,5,45.45,9.13,76.3,81.82,57.8,100,Moderate Risk
39,39,Pradyut Bordoloi,Assam,NOWGONG,INC,28,15,53.57,9.26,49.5,82.14,85.59,100,Clean / Exemplary
40,40,Rakibul Hussain,Assam,DHUBRI,BJP,47,34,72.34,16.36,63.7,76.6,74.35,100,Clean / Exemplary
41,41,Ranjit Dutta,Assam,SONITPUR,Others,30,16,53.33,5.23,32.3,70.0,41.39,100,Moderate Risk
42,42,Shri Sarbananda Sonowal (18Ls),Assam,DIBRUGARH,BJP,24,17,70.83,11.52,34.3,45.83,20.54,100,High Risk
43,43,Abhay Kumar Sinha,Bihar,AURANGABAD_BR,SHS,17,11,64.71,18.18,59.6,64.71,21.44,100,High Risk
44,44,Ajay Kumar Mandal,Bihar,BHAGALPUR,BJP,41,23,56.1,3.47,62.3,56.1,74.06,100,Clean / Exemplary
45,45,Alok Kumar Suman,Bihar,GOPALGANJ (SC),INC,43,33,76.74,14.6,54.3,60.47,22.2,100,High Risk
46,46,Arun Bharti,Bihar,JAMUI(SC),INC,29,20,68.97,10.28,80.8,65.52,32.32,100,High Risk
47,47,Ashok Kumar Yadav,Bihar,MADHUBANI,BJD,48,37,77.08,18.55,70.3,60.42,55.11,100,Moderate Risk
48,48,Chirag Paswan,Bihar,HAJIPUR(SC),BJP,29,16,55.17,4.19,49.1,75.86,48.24,100,Moderate Risk
49,49,Devesh Chandra Thakur,Bihar,SITAMARHI,YSR Congress,45,25,55.56,9.77,88.4,55.56,31.57,100,High Risk
50,50,Dileshwar Kamait,Bihar,SUPAUL,DMK,27,18,66.67,16.55,63.0,81.48,33.48,100,High Risk
51,51,Dinesh Chandra Yadav,Bihar,MADHEPURA,YSR Congress,9,6,66.67,23.24,31.9,66.67,44.24,100,Moderate Risk
52,52,Dr Mohammad Jawed,Bihar,KISHANGANJ,INC,14,9,64.29,13.84,111.4,71.43,51.3,100,Moderate Risk
53,53,Giridhari Yadav,Bihar,BANKA,SHS,29,22,75.86,13.65,90.1,62.07,70.56,100,Clean / Exemplary
54,54,Giriraj Singh,Bihar,BEGUSARAI,JDU,7,4,57.14,4.22,82.0,85.71,34.35,100,High Risk
55,55,Jitan Ram Manjhi,Bihar,GAYA (SC),BJP,14,6,42.86,-1.37,20.4,57.14,22.59,100,High Risk
56,56,Kaushalendra Kumar,Bihar,NALANDA,Independent,11,8,72.73,4.89,127.2,36.36,81.01,100,Clean / Exemplary
57,57,Lovely Anand,Bihar,SHEOHAR,BJP,46,25,54.35,13.5,66.5,71.74,34.01,100,High Risk
58,58,Manoj Kumar,Bihar,SASARAM(SC),BJP,20,13,65.0,11.83,94.8,60.0,34.41,100,High Risk
59,59,Misha Bharti,Bihar,PATALIPUTRA,BJD,45,30,66.67,8.82,64.4,71.11,87.89,100,Clean / Exemplary
60,60,Mr Gopal Jee Thakur,Bihar,DARBHANGA,INC,43,30,69.77,13.67,76.1,55.81,23.37,100,High Risk
61,61,Nityanand Rai,Bihar,UJJARPUR,BJP,23,15,65.22,17.07,55.8,91.3,49.66,100,Moderate Risk
62,62,Pradeep Kumar Singh,Bihar,ARARIA,SHS,35,18,51.43,10.13,41.7,77.14,72.87,100,Clean / Exemplary
63,63,Radha Mohan Singh,Bihar,PURVI CHAMPARAN,BJP,45,24,53.33,2.55,51.4,82.22,57.47,100,Moderate Risk
64,64,Raj Bhushan Choudhary,Bihar,MUZAFFARPUR,TMC,26,12,46.15,4.53,49.8,80.77,22.69,100,High Risk
65,65,Raja Ram Singh,Bihar,KARAKAT,TMC,8,6,75.0,4.63,67.0,87.5,30.51,100,High Risk
66,66,Rajesh Ranjan Alias Pappu Yadav,Bihar,PURNEA,BJP,7,5,71.43,5.88,81.0,71.43,66.22,100,Clean / Exemplary
67,67,Rajesh Verma,Bihar,KHAGARIA,BSP,28,16,57.14,14.41,62.3,75.0,87.75,100,Clean / Exemplary
68,68,Rajiv Pratap Rudy,Bihar,SARAN,Independent,20,13,65.0,3.16,80.4,60.0,57.12,100,Moderate Risk
69,69,Rajiv Ranjan (Lalan) Singh,Bihar,MUNGER,DMK,32,20,62.5,11.45,53.8,75.0,88.6,100,Clean / Exemplary
70,70,Ramprit Mandal,Bihar,JHANJHARPUR,BSP,37,29,78.38,12.66,98.8,59.46,58.8,100,Moderate Risk
71,71,Ravi Shankar Prasad,Bihar,PATNA SAHIB,TMC,15,7,46.67,-0.89,79.3,73.33,26.51,100,High Risk
72,72,Sanjay Jaiswal,Bihar,PASCHIM CHAMPARAN,Others,28,22,78.57,11.09,109.6,71.43,38.21,100,High Risk
73,73,Shambhavi,Bihar,SAMASTIPUR(SC),BJP,44,27,61.36,12.97,53.9,68.18,29.85,100,High Risk
74,74,Shri Janardan Singh Sigriwal,Bihar,MAHARAJGANJ_BR,BJP,14,9,64.29,13.68,65.2,78.57,61.53,100,Moderate Risk
75,75,Smt Veena Devi,Bihar,VAISHALI,BSP,19,14,73.68,7.6,83.1,57.89,58.76,100,Moderate Risk
76,76,Sudama Prasad,Bihar,ARRAH,DMK,31,16,51.61,2.54,76.8,64.52,38.92,100,High Risk
