mp_id,mp_name,state,constituency,constituency_type,house,party,allocated_amount,released_amount,expenditure_amount,utilization_pct,total_works_recommended,total_works_completed,risk_tier,deviation_pct
1,Bishnu Pada Ray,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,147000000.0,124173717.65247191,67974182.63298915,46.24,77,52,Moderate Risk,0.0
2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,ANANTAPUR,General,Lok Sabha,INC,201899064.11,165963127.40112847,99381189.52323721,49.22,29,19,Moderate Risk,37.35
3,Appalanaidu Kalisetti,Andhra Pradesh,VIZIANAGARAM,General,Lok Sabha,BJP,147000000.0,128410844.60994735,97068366.61770533,66.03,32,29,Clean / Exemplary,0.0
4,B K Parthasarathi,Andhra Pradesh,HINDUPUR,General,Lok Sabha,INC,160491894.11,153917703.00171053,110794107.67464979,69.03,32,23,Clean / Exemplary,9.18
5,Balashowry Vallabbhaneni,Andhra Pradesh,MACHILIPATNAM,General,Lok Sabha,BJP,147000000.0,130355238.48759641,79987273.54952204,54.41,40,21,Moderate Risk,0.0
6,Bastipati Nagaraju Panchalingala,Andhra Pradesh,KURNOOL,General,Lok Sabha,BJP,159998515.11,154061561.65162495,68413805.41431127,42.76,33,15,Moderate Risk,8.84
7,Bhupathiraju Srinivasa Varma,Andhra Pradesh,NARASAPURAM,General,Lok Sabha,SHS,147000000.0,138363521.478401,101529723.62714346,69.07,20,16,Clean / Exemplary,0.0
8,C.M.Ramesh,Andhra Pradesh,ANAKAPALLE,General,Lok Sabha,BJP,202531656.11,169645422.89363748,78318389.0553186,38.67,45,13,High Risk,37.78
9,Daggubati Purandeshwari,Andhra Pradesh,RAJAHMUNDRY,General,Lok Sabha,RJD,147000000.0,132068219.01653843,127105672.17437138,86.47,31,28,Clean / Exemplary,0.0
10,Daggumalla Prasada Rao,Andhra Pradesh,CHITTOOR,General,Lok Sabha,TMC,147000000.0,127265297.34245275,76645069.31691709,52.14,56,34,Moderate Risk,0.0
11,Dr Byreddy Shabari,Andhra Pradesh,NANDYAL,General,Lok Sabha,BJP,150675889.11,136346955.28236395,55652054.980693795,36.93,41,13,High Risk,2.5
12,Dr Chandra Sekhar Pemmasani,Andhra Pradesh,GUNTUR,General,Lok Sabha,BJP,159774113.11,149185665.97808814,100151020.1261489,62.68,75,47,Moderate Risk,8.69
13,Gm Harish Balayogi,Andhra Pradesh,AMALAPURAM(SC),SC,Lok Sabha,BJP,147000000.0,134741421.89250895,50791495.65452622,34.55,42,10,High Risk,0.0
14,Gumma Thanuja Rani,Andhra Pradesh,ARAKU(ST),ST,Lok Sabha,JDU,149458905.11,143476222.24807292,96757780.65331998,64.74,42,18,Moderate Risk,1.67
15,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,SRIKAKULAM,General,Lok Sabha,BJP,171200630.11,164174883.20068654,80545192.02655956,47.05,60,36,Moderate Risk,16.46
16,Krishna Prasad Tenneti,Andhra Pradesh,BAPATLA,General,Lok Sabha,INC,167796849.11,149514380.62146214,68393553.01123253,40.76,15,7,Moderate Risk,14.15
17,Lavu Sri Krishna Devarayalu,Andhra Pradesh,NARASARAOPET,General,Lok Sabha,INC,174009663.11,140363262.8429981,88237630.39439924,50.71,20,11,Moderate Risk,18.37
18,Maddila Gurumoorthy,Andhra Pradesh,TIRUPATI(SC),SC,Lok Sabha,SP,180399007.0,147264399.13994923,79929984.89224054,44.31,18,11,Moderate Risk,22.72
