work_id,mp_id,mp_name,state,district,constituency,constituency_type,house,party,work_category,work_subcategory,estimated_cost_inr,sanctioned_cost_inr,actual_expenditure_inr,expected_completion_days,actual_completion_days,inspection_done,photo_available,photo_location_match,similar_work_count_500m,payment_count,is_anomalous,anomaly_type,cost_overrun_ratio,delay_days,cost_deviation_pct
W000375,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Bridge Repair,1124780.21,1136883.82,1281234.21,84,413,1,1,1,0,7,1,delay_anomaly,0.127,329,13.91
W000878,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Education,Boundary Wall Construction,3048243.93,3047931.38,3000421.88,162,136,1,1,0,0,4,0,clean,-0.0156,0,-1.57
W000900,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,CC Road Construction,4242360.77,4310421.87,4304004.47,179,221,0,1,1,0,4,0,clean,-0.0015,42,1.45
W001474,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Community,Cremation Ground Development,3127541.7,3282924.4,2901218.91,165,194,0,1,1,0,4,0,clean,-0.1163,29,-7.24
W001525,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,CC Road Construction,4367083.13,4457648.96,4717406.11,67,145,1,1,1,0,6,1,delay_anomaly,0.0583,78,8.02
W001727,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Bridge Repair,2767208.12,2845498.54,2458087.57,56,60,1,1,1,0,2,0,clean,-0.1361,4,-11.17
W003503,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Bridge Repair,4096761.29,3915270.75,3430842.43,47,55,0,1,0,4,4,1,duplicate_work,-0.1237,8,-16.25
W003756,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Culvert Construction,3806170.65,3939207.48,4700119.98,40,224,1,1,1,1,4,1,delay_anomaly,0.1932,184,23.49
W004012,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,CC Road Construction,2483597.41,2506930.97,2726025.35,31,129,0,1,1,0,4,1,delay_anomaly,0.0874,98,9.76
W004331,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Healthcare,Community Health Centre Upgrade,7257673.54,17234228.23,29813229.92,62,81,1,0,1,0,9,1,cost_anomaly,0.7299,19,310.78
W004481,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,CC Road Construction,888207.69,1978504.58,2244227.87,83,125,1,1,0,0,6,1,cost_anomaly,0.1343,42,152.67
W004544,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Sanitation,Drainage Construction,1489561.19,1486085.69,1572324.2,112,131,1,1,0,3,2,1,duplicate_work,0.058,19,5.56
W004663,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Education,Boundary Wall Construction,3744222.06,3762956.6,3923289.48,116,114,0,1,1,2,5,1,duplicate_work,0.0426,0,4.78
W004874,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Education,School Building Construction,1780984.3,1948875.47,1763089.06,82,260,0,1,1,1,4,1,delay_anomaly,-0.0953,178,-1.0
W005229,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Culvert Construction,2965603.12,4408747.92,7818106.73,110,167,1,0,1,0,4,1,cost_anomaly,0.7733,57,163.63
W005255,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,CC Road Construction,2875203.07,3061188.59,3208330.77,79,76,1,1,1,3,3,1,duplicate_work,0.0481,0,11.59
W005936,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Electricity,Street Light Installation,1693902.26,1707862.92,1650008.65,107,107,1,1,1,0,3,0,clean,-0.0339,0,-2.59
W006187,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Electricity,Transformer Installation,1428273.29,1734671.41,1785003.49,142,272,0,0,0,1,11,1,vendor_anomaly,0.029,130,24.98
W006455,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Sanitation,Community Toilet Block,1103514.92,1193844.46,1177525.84,111,564,0,0,1,1,4,1,delay_anomaly,-0.0137,453,6.71
W006656,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Water Supply,Pipeline Laying,237330.05,288438.9,239104.67,39,43,0,1,0,0,3,1,ghost_asset,-0.171,4,0.75
W006796,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Water Supply,Water Purification Unit,1603894.33,1712183.67,1653592.27,64,64,1,1,1,0,3,0,clean,-0.0342,0,3.1
W007113,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Education,Computer Lab Setup,3941853.76,4272624.81,5303631.31,108,98,1,1,0,0,11,1,payment_anomaly,0.2413,0,34.55
W007780,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,CC Road Construction,2346324.01,2398064.5,2028633.01,103,79,1,0,1,1,1,1,ghost_asset,-0.1541,0,-13.54
W008632,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Education,Boundary Wall Construction,1874398.55,1780976.82,1799038.74,144,181,0,1,1,0,2,0,clean,0.0101,37,-4.02
W009276,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Water Supply,Pipeline Laying,2366692.77,2519320.06,2328159.12,117,390,1,1,0,2,5,1,delay_anomaly,-0.0759,273,-1.63
W009563,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Healthcare,Sub-Centre Construction,4446572.65,6259602.67,6919347.49,88,101,0,1,0,0,11,1,cost_anomaly,0.1054,13,55.61
W009901,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Electricity,Electrical Line Extension,846128.66,820925.26,713419.34,108,87,1,1,1,0,2,0,clean,-0.131,0,-15.68
W010042,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Healthcare,Ambulance Purchase,6705516.27,7267354.34,7512739.5,125,119,0,1,1,0,4,0,clean,0.0338,0,12.04
W010401,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Bridge Repair,932261.65,957559.87,918576.37,59,73,0,1,1,2,5,1,duplicate_work,-0.0407,14,-1.47
W010977,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Electricity,Solar Light Installation,117066.45,133408.05,123208.75,83,113,1,1,1,3,5,1,duplicate_work,-0.0765,30,5.25
W011570,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Bituminous Road Construction,4564882.47,7612435.87,13442743.27,145,176,0,1,1,2,10,1,cost_anomaly,0.7659,31,194.48
W012019,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Road,Footpath Construction,4552828.92,4423730.22,3945820.09,53,49,1,1,1,0,4,0,clean,-0.108,0,-13.33
W012463,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Healthcare,Medical Equipment Purchase,6309492.51,6028958.59,5514726.6,132,159,0,0,1,0,3,0,clean,-0.0853,27,-12.6
W012750,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Electricity,Transformer Installation,203411.25,201814.9,198769.82,115,119,0,1,0,1,1,0,clean,-0.0151,4,-2.28
W013089,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Sports,Sports Equipment Purchase,6310712.9,6848878.23,7150236.57,46,169,1,1,1,0,7,1,delay_anomaly,0.044,123,13.3
W013309,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Sanitation,Sewage Treatment,2282478.79,2772787.6,3749351.46,54,80,1,1,1,0,19,1,payment_anomaly,0.3522,26,64.27
W013937,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Electricity,Transformer Installation,737363.82,871127.0,859505.17,110,78,0,0,1,0,3,1,ghost_asset,-0.0133,0,16.56
W014057,1,Bishnu Pada Ray,Andaman And Nicobar Islands,Port Blair,ANDAMAN AND NICOBAR ISLANDS,General,Lok Sabha,TDP,Education,Toilet Block Construction,2158305.48,2389249.06,4357734.87,31,48,1,1,1,2,17,1,payment_anomaly,0.8239,17,101.91
W002871,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Kurnool,ANANTAPUR,General,Lok Sabha,INC,Education,Classroom Addition,3319961.57,3598387.65,3258867.77,72,78,1,1,0,0,3,0,clean,-0.0944,6,-1.84
W003486,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,West Godavari,ANANTAPUR,General,Lok Sabha,INC,Road,CC Road Construction,1758136.29,3823438.79,4585597.25,79,88,0,1,1,0,4,1,cost_anomaly,0.1993,9,160.82
W003646,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Chittoor,ANANTAPUR,General,Lok Sabha,INC,Road,Footpath Construction,2726929.63,4424696.67,5737203.41,129,227,0,1,1,2,11,1,cost_anomaly,0.2966,98,110.39
W005155,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Guntur,ANANTAPUR,General,Lok Sabha,INC,Road,Bridge Repair,4145498.2,4297936.27,4429105.18,105,124,1,0,0,3,4,1,duplicate_work,0.0305,19,6.84
W006682,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Visakhapatnam,ANANTAPUR,General,Lok Sabha,INC,Education,Library Construction,858031.65,1273861.4,1639657.62,39,70,0,0,1,0,4,1,cost_anomaly,0.2872,31,91.1
W007415,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Visakhapatnam,ANANTAPUR,General,Lok Sabha,INC,Road,Culvert Construction,3266847.07,6071761.64,6715140.76,78,115,1,0,1,0,10,1,cost_anomaly,0.106,37,105.55
W008315,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Prakasam,ANANTAPUR,General,Lok Sabha,INC,Water Supply,RO Plant Installation,1475288.4,2768634.25,3980258.07,97,142,1,1,0,0,9,1,cost_anomaly,0.4376,45,169.8
W008675,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Srikakulam,ANANTAPUR,General,Lok Sabha,INC,Sanitation,Community Toilet Block,2414974.02,2459833.53,2877341.71,41,104,1,1,0,2,6,1,delay_anomaly,0.1697,63,19.15
W008730,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Chittoor,ANANTAPUR,General,Lok Sabha,INC,Healthcare,Ambulance Purchase,6519183.93,6995064.33,12353464.9,42,51,0,1,0,1,16,1,payment_anomaly,0.766,9,89.49
W009709,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,West Godavari,ANANTAPUR,General,Lok Sabha,INC,Sports,Stadium Development,3357291.29,4969580.4,8921033.63,122,189,1,1,0,0,5,1,cost_anomaly,0.7951,67,165.72
W009774,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Kadapa,ANANTAPUR,General,Lok Sabha,INC,Road,Road Repair & Resurfacing,3466122.9,3390446.03,3062429.82,100,474,1,1,1,1,7,1,delay_anomaly,-0.0967,374,-11.65
W009834,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Prakasam,ANANTAPUR,General,Lok Sabha,INC,Healthcare,Community Health Centre Upgrade,4606016.01,7148073.5,9994056.62,67,194,1,0,1,1,5,1,vendor_anomaly,0.3981,127,116.98
W012092,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Chittoor,ANANTAPUR,General,Lok Sabha,INC,Road,Culvert Construction,2068264.77,2366188.55,2396408.39,112,372,1,1,1,0,3,1,delay_anomaly,0.0128,260,15.87
W012117,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Kadapa,ANANTAPUR,General,Lok Sabha,INC,Road,Footpath Construction,2886750.42,7153010.07,12524869.4,44,48,1,1,1,1,5,1,cost_anomaly,0.751,4,333.87
W012431,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Kadapa,ANANTAPUR,General,Lok Sabha,INC,Healthcare,Medical Equipment Purchase,6004691.24,6506397.18,6764164.18,57,200,0,0,1,0,5,1,delay_anomaly,0.0396,143,12.65
W013923,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Prakasam,ANANTAPUR,General,Lok Sabha,INC,Education,School Building Construction,1934546.92,3159995.23,4916798.96,128,251,1,1,1,0,6,1,cost_anomaly,0.556,123,154.16
W014070,2,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,East Godavari,ANANTAPUR,General,Lok Sabha,INC,Electricity,Street Light Installation,983670.92,938580.83,977673.44,38,41,1,1,1,0,3,0,clean,0.0417,3,-0.61
W000066,3,Appalanaidu Kalisetti,Andhra Pradesh,Prakasam,VIZIANAGARAM,General,Lok Sabha,BJP,Education,Boundary Wall Construction,2871806.55,2961613.24,2843522.05,173,214,1,1,1,0,4,0,clean,-0.0399,41,-0.98
W001160,3,Appalanaidu Kalisetti,Andhra Pradesh,Krishna,VIZIANAGARAM,General,Lok Sabha,BJP,Sports,Stadium Development,8706951.95,8571622.83,8289226.69,109,101,1,1,1,4,6,1,duplicate_work,-0.0329,0,-4.8
W004471,3,Appalanaidu Kalisetti,Andhra Pradesh,Kadapa,VIZIANAGARAM,General,Lok Sabha,BJP,Water Supply,Water Purification Unit,1242140.32,1260329.93,1393516.08,93,425,0,0,1,0,8,1,delay_anomaly,0.1057,332,12.19
W005622,3,Appalanaidu Kalisetti,Andhra Pradesh,West Godavari,VIZIANAGARAM,General,Lok Sabha,BJP,Education,Boundary Wall Construction,3594623.32,3798863.9,3394060.74,129,166,1,1,1,0,1,0,clean,-0.1066,37,-5.58
