mp_id,mp_name,state,constituency,party,house,annual_allocation,total_works,anomalous_works,total_expenditure,avg_work_risk,flagged_works_count,fraud_rate,utilization_pct,underutilization_risk,mp_risk_score,risk_tier
MP0323,MP Representative 323,Sikkim,Constituency 323,Other,Lok Sabha,147000000,28,26,35591803.72,55.99107142857143,26,92.85714285714286,24.212111374149657,83.68183293877551,75.82,High Risk
MP0051,MP Representative 051,Haryana,Constituency 051,TMC,Lok Sabha,147000000,28,26,36609422.38,56.401785714285715,25,92.85714285714286,24.904368965986396,82.64344655102042,75.72,High Risk
MP0350,MP Representative 350,Andhra Pradesh,Constituency 350,AAP,Rajya Sabha,147000000,28,25,36333012.81,56.32785714285715,25,89.28571428571429,24.716335244897962,82.92549713265305,74.51,High Risk
MP0193,MP Representative 193,Sikkim,Constituency 193,INC,Lok Sabha,147000000,28,26,41110604.19,54.85214285714286,24,92.85714285714286,27.966397408163264,78.05040388775511,73.95,High Risk
MP0439,MP Representative 439,Andaman and Nicobar Islands,Constituency 439,JD(U),Lok Sabha,147000000,27,25,42249612.84,55.69888888888889,23,92.5925925925926,28.741233224489797,76.88815016326531,73.91,High Risk
MP0411,MP Representative 411,Haryana,Constituency 411,TMC,Lok Sabha,147000000,27,27,57679597.32,58.50222222222222,27,100.0,39.23782130612245,61.143268040816324,73.69,High Risk
MP0215,MP Representative 215,Andhra Pradesh,Constituency 215,Other,Rajya Sabha,147000000,28,25,35073952.71,52.30321428571428,24,89.28571428571429,23.859831775510205,84.2102523367347,73.22,High Risk
MP0270,MP Representative 270,Andhra Pradesh,Constituency 270,SP,Rajya Sabha,122500000,28,26,35683783.3,54.092499999999994,25,92.85714285714286,29.12961902040816,76.30557146938776,73.21,High Risk
MP0393,MP Representative 393,Sikkim,Constituency 393,YSRCP,Lok Sabha,147000000,27,24,35777822.24,52.803333333333335,23,88.88888888888889,24.338654585034014,83.49201812244898,73.11,High Risk
MP0463,MP Representative 463,Sikkim,Constituency 463,JD(U),Lok Sabha,147000000,27,24,37268354.79,53.570740740740746,24,88.88888888888889,25.352622306122445,81.97106654081634,73.03,High Risk
MP0539,MP Representative 539,Andaman and Nicobar Islands,Constituency 539,Other,Lok Sabha,147000000,27,24,37609921.5,53.02851851851852,23,88.88888888888889,25.584980612244895,81.62252908163266,72.73,High Risk
MP0365,MP Representative 365,Andhra Pradesh,Constituency 365,DMK,Rajya Sabha,147000000,28,24,34489744.55,53.50678571428572,24,85.71428571428571,23.462411258503398,84.8063831122449,72.6,High Risk
MP0251,MP Representative 251,Haryana,Constituency 251,Other,Lok Sabha,147000000,28,24,33791180.42,52.7425,22,85.71428571428571,22.987197564625852,85.51920365306123,72.48,High Risk
MP0445,MP Representative 445,Andhra Pradesh,Constituency 445,INC,Rajya Sabha,147000000,27,24,39364659.15,53.32666666666666,22,88.88888888888889,26.77867969387755,79.83198045918368,72.4,High Risk
MP0025,MP Representative 025,Andhra Pradesh,Constituency 025,INC,Rajya Sabha,147000000,28,27,55301140.29,56.71214285714286,27,96.42857142857143,37.61982332653061,63.57026501020409,72.33,High Risk
MP0072,MP Representative 072,Manipur,Constituency 072,BJP,Lok Sabha,122500000,28,24,28761015.99,52.79035714285714,24,85.71428571428571,23.4783804,84.7824294,72.31,High Risk
MP0192,MP Representative 192,Manipur,Constituency 192,BJP,Lok Sabha,147000000,28,24,33432230.79,51.53178571428572,24,85.71428571428571,22.74301414285714,85.88547878571428,72.08,High Risk
MP0088,MP Representative 088,Sikkim,Constituency 088,BJD,Lok Sabha,147000000,28,24,36544804.33,53.035714285714285,24,85.71428571428571,24.860411108843536,82.7093833367347,71.89,High Risk
MP0379,MP Representative 379,Andaman and Nicobar Islands,Constituency 379,JD(U),Lok Sabha,147000000,27,25,46958364.5,53.40814814814815,24,92.5925925925926,31.9444656462585,72.08330153061225,71.79,High Risk
MP0120,MP Representative 120,Andhra Pradesh,Constituency 120,BJP,Rajya Sabha,147000000,28,25,43590682.76,53.97071428571429,25,89.28571428571429,29.65352568707483,75.51971146938774,71.72,High Risk
MP0018,MP Representative 018,Sikkim,Constituency 018,SP,Lok Sabha,122500000,28,24,31226765.22,52.965357142857144,22,85.71428571428571,25.491236914285714,81.76314462857142,71.63,High Risk
MP0098,MP Representative 098,Sikkim,Constituency 098,AAP,Lok Sabha,147000000,28,26,52338200.19,55.762499999999996,24,92.85714285714286,35.604217816326525,66.59367327551021,71.45,High Risk
MP0487,MP Representative 487,Manipur,Constituency 487,JD(U),Lok Sabha,147000000,27,24,43383727.71,53.03592592592593,24,88.88888888888889,29.51273993877551,75.73089009183673,71.26,High Risk
MP0205,MP Representative 205,Andhra Pradesh,Constituency 205,INC,Rajya Sabha,147000000,28,25,45447693.86,53.63357142857143,24,89.28571428571429,30.916798544217688,73.62480218367347,71.11,High Risk
MP0384,MP Representative 384,Andaman and Nicobar Islands,Constituency 384,BJP,Lok Sabha,147000000,27,24,43649936.24,52.74592592592593,23,88.88888888888889,29.693834176870748,75.45924873469387,71.07,High Risk
MP0093,MP Representative 093,Sikkim,Constituency 093,YSRCP,Lok Sabha,147000000,28,24,39084017.37,52.582499999999996,23,85.71428571428571,26.587766918367343,80.11834962244899,71.06,High Risk
MP0338,MP Representative 338,Sikkim,Constituency 338,AAP,Lok Sabha,147000000,28,24,39353057.29,52.592499999999994,23,85.71428571428571,26.77078727210884,79.84381909183674,71.0,High Risk
MP0030,MP Representative 030,Andhra Pradesh,Constituency 030,SP,Rajya Sabha,147000000,28,26,53755903.56,55.51107142857143,26,92.85714285714286,36.56864187755102,65.14703718367346,70.99,High Risk
MP0081,MP Representative 081,Haryana,Constituency 081,YSRCP,Lok Sabha,245000000,28,24,62645966.089999996,51.380357142857136,24,85.71428571428571,25.569782077551018,81.64532688367348,70.96,High Risk
MP0228,MP Representative 228,Sikkim,Constituency 228,BJP,Lok Sabha,147000000,28,27,61601411.29,57.11678571428571,26,96.42857142857143,41.905721965986395,57.14141705102041,70.88,High Risk
MP0033,MP Representative 033,Sikkim,Constituency 033,YSRCP,Lok Sabha,147000000,28,24,38451622.25,51.50964285714286,22,85.71428571428571,26.157566156462586,80.76365076530612,70.79,High Risk
MP0213,MP Representative 213,Sikkim,Constituency 213,YSRCP,Lok Sabha,147000000,28,24,38967032.410000004,51.78678571428571,24,85.71428571428571,26.508185312925175,80.23772203061223,70.77,High Risk
MP0336,MP Representative 336,Haryana,Constituency 336,BJP,Lok Sabha,147000000,28,24,40127769.519999996,52.365,22,85.71428571428571,27.29780239455782,79.05329640816328,70.71,High Risk
MP0506,MP Representative 506,Haryana,Constituency 506,AAP,Lok Sabha,147000000,27,23,40308799.43,52.47,22,85.18518518518519,27.420951993197278,78.86857201020408,70.52,High Risk
MP0201,MP Representative 201,Haryana,Constituency 201,YSRCP,Lok Sabha,147000000,28,24,38092370.52,50.59571428571429,21,85.71428571428571,25.913177224489797,81.1302341632653,70.52,High Risk
MP0482,MP Representative 482,Manipur,Constituency 482,AAP,Lok Sabha,147000000,27,24,46258749.32,52.837407407407404,22,88.88888888888889,31.468536952380955,72.79719457142856,70.45,High Risk
MP0450,MP Representative 450,Andhra Pradesh,Constituency 450,SP,Rajya Sabha,122500000,27,24,40115424.14,54.01148148148148,24,88.88888888888889,32.747285012244895,70.87907248163266,70.44,High Risk
MP0538,MP Representative 538,Sikkim,Constituency 538,TDP,Lok Sabha,147000000,27,25,55672040.59,55.550740740740736,23,92.5925925925926,37.87213645578232,63.19179531632652,70.43,High Risk
MP0418,MP Representative 418,Sikkim,Constituency 418,TDP,Lok Sabha,147000000,27,22,31430829.35,49.184814814814814,21,81.48148148148148,21.38151656462585,87.92772515306122,70.17,High Risk
MP0523,MP Representative 523,Sikkim,Constituency 523,JD(U),Lok Sabha,147000000,27,23,38746070.78,50.461481481481485,23,85.18518518518519,26.357871278911567,80.46319308163265,70.12,High Risk
MP0422,MP Representative 422,Manipur,Constituency 422,AAP,Lok Sabha,147000000,27,24,46579590.35,52.18296296296297,23,88.88888888888889,31.686796156462588,72.46980576530612,70.1,High Risk
MP0143,MP Representative 143,Sikkim,Constituency 143,Other,Lok Sabha,147000000,28,22,29968477.21,50.095000000000006,22,78.57142857142857,20.386719190476192,89.41992121428571,69.89,High Risk
MP0284,MP Representative 284,Andaman and Nicobar Islands,Constituency 284,RJD,Lok Sabha,147000000,28,26,56440834.93,54.14035714285715,26,92.85714285714286,38.39512580272108,62.407311295918376,69.76,High Risk
MP0152,MP Representative 152,Manipur,Constituency 152,RJD,Lok Sabha,147000000,28,25,53056121.41,55.03357142857143,25,89.28571428571429,36.09259959863945,65.86110060204082,69.73,High Risk
MP0516,MP Representative 516,Haryana,Constituency 516,BJP,Lok Sabha,147000000,27,24,51549314.03,54.431111111111115,23,88.88888888888889,35.06756056462585,67.39865915306123,69.73,High Risk
MP0255,MP Representative 255,Andhra Pradesh,Constituency 255,TMC,Rajya Sabha,147000000,28,24,40820957.93,50.28357142857143,24,85.71428571428571,27.769359136054423,78.34596129591837,69.7,High Risk
MP0234,MP Representative 234,Andaman and Nicobar Islands,Constituency 234,SP,Lok Sabha,147000000,28,25,51592785.6,53.46107142857143,23,89.28571428571429,35.09713306122449,67.35430040816327,69.47,High Risk
MP0345,MP Representative 345,Andhra Pradesh,Constituency 345,YSRCP,Rajya Sabha,147000000,28,23,36398557.839999996,49.93214285714286,23,82.14285714285714,24.76092370068027,82.85861444897961,69.44,High Risk
MP0500,MP Representative 500,Andhra Pradesh,Constituency 500,RJD,Rajya Sabha,147000000,27,23,44925416.52,52.63185185185185,23,85.18518518518519,30.561507836734698,74.15773824489796,69.41,High Risk
MP0485,MP Representative 485,Andhra Pradesh,Constituency 485,DMK,Rajya Sabha,147000000,27,23,42937966.53,51.24407407407407,21,85.18518518518519,29.209501040816328,76.1857484387755,69.36,High Risk
MP0375,MP Representative 375,Andhra Pradesh,Constituency 375,TMC,Rajya Sabha,147000000,27,23,42160102.9,50.6862962962963,21,85.18518518518519,28.680342108843536,76.97948683673471,69.33,High Risk
MP0116,MP Representative 116,Haryana,Constituency 116,RJD,Lok Sabha,147000000,28,27,69957370.82,58.29714285714285,26,96.42857142857143,47.590048176870745,48.61492773469388,69.22,High Risk
MP0046,MP Representative 046,Haryana,Constituency 046,TDP,Lok Sabha,147000000,28,23,38203054.76,49.99107142857143,23,82.14285714285714,25.98847262585034,81.0172910612245,69.0,High Risk
MP0318,MP Representative 318,Sikkim,Constituency 318,SP,Lok Sabha,147000000,28,23,38801798.83,50.2525,23,82.14285714285714,26.3957815170068,80.40632772448981,68.95,High Risk
MP0276,MP Representative 276,Haryana,Constituency 276,BJP,Lok Sabha,147000000,28,23,36779589.07,48.77571428571429,23,82.14285714285714,25.02012861904762,82.46980707142856,68.88,High Risk
MP0145,MP Representative 145,Andhra Pradesh,Constituency 145,INC,Rajya Sabha,147000000,28,25,49746194.36,50.69035714285714,24,89.28571428571429,33.84094854421769,69.23857718367347,68.84,High Risk
MP0288,MP Representative 288,Sikkim,Constituency 288,BJP,Lok Sabha,122500000,28,23,31306936.1,48.9825,22,82.14285714285714,25.556682530612246,81.66497620408163,68.76,High Risk
MP0368,MP Representative 368,Sikkim,Constituency 368,RJD,Lok Sabha,147000000,27,22,37433856.24,49.421481481481486,21,81.48148148148148,25.465208326530615,81.80218751020408,68.74,High Risk
MP0040,MP Representative 040,Andhra Pradesh,Constituency 040,BJD,Rajya Sabha,147000000,28,24,44742051.8,50.26142857142857,20,85.71428571428571,30.436769931972783,74.34484510204082,68.69,High Risk
