mp_id,mp_name,state,constituency,constituency_type,party,house,tenure_start,by_election_flag,annual_allocation_inr
MP0001,MP Representative 001,Haryana,Constituency 001,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0002,MP Representative 002,Manipur,Constituency 002,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0003,MP Representative 003,Sikkim,Constituency 003,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0004,MP Representative 004,Andaman and Nicobar Islands,Constituency 004,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0005,MP Representative 005,Andhra Pradesh,Constituency 005,General,DMK,Rajya Sabha,2022-06-01,0,147000000
MP0006,MP Representative 006,Haryana,Constituency 006,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0007,MP Representative 007,Manipur,Constituency 007,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0008,MP Representative 008,Sikkim,Constituency 008,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0009,MP Representative 009,Andaman and Nicobar Islands,Constituency 009,General,YSRCP,Lok Sabha,2024-06-01,0,122500000
MP0010,MP Representative 010,Andhra Pradesh,Constituency 010,General,TDP,Rajya Sabha,2022-06-01,0,147000000
MP0011,MP Representative 011,Haryana,Constituency 011,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0012,MP Representative 012,Manipur,Constituency 012,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0013,MP Representative 013,Sikkim,Constituency 013,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0014,MP Representative 014,Andaman and Nicobar Islands,Constituency 014,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0015,MP Representative 015,Andhra Pradesh,Constituency 015,General,TMC,Rajya Sabha,2022-06-01,0,147000000
MP0016,MP Representative 016,Haryana,Constituency 016,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0017,MP Representative 017,Manipur,Constituency 017,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0018,MP Representative 018,Sikkim,Constituency 018,ST,SP,Lok Sabha,2024-06-01,0,122500000
MP0019,MP Representative 019,Andaman and Nicobar Islands,Constituency 019,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0020,MP Representative 020,Andhra Pradesh,Constituency 020,General,RJD,Rajya Sabha,2022-06-01,0,147000000
MP0021,MP Representative 021,Haryana,Constituency 021,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0022,MP Representative 022,Manipur,Constituency 022,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0023,MP Representative 023,Sikkim,Constituency 023,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0024,MP Representative 024,Andaman and Nicobar Islands,Constituency 024,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0025,MP Representative 025,Andhra Pradesh,Constituency 025,General,INC,Rajya Sabha,2022-06-01,0,147000000
MP0026,MP Representative 026,Haryana,Constituency 026,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0027,MP Representative 027,Manipur,Constituency 027,General,TMC,Lok Sabha,2024-06-01,0,165000000
MP0028,MP Representative 028,Sikkim,Constituency 028,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0029,MP Representative 029,Andaman and Nicobar Islands,Constituency 029,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0030,MP Representative 030,Andhra Pradesh,Constituency 030,ST,SP,Rajya Sabha,2022-06-01,0,147000000
MP0031,MP Representative 031,Haryana,Constituency 031,General,JD(U),Lok Sabha,2024-06-01,1,147000000
MP0032,MP Representative 032,Manipur,Constituency 032,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0033,MP Representative 033,Sikkim,Constituency 033,General,YSRCP,Lok Sabha,2024-06-01,0,147000000
MP0034,MP Representative 034,Andaman and Nicobar Islands,Constituency 034,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0035,MP Representative 035,Andhra Pradesh,Constituency 035,General,Other,Rajya Sabha,2022-06-01,0,147000000
MP0036,MP Representative 036,Haryana,Constituency 036,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0037,MP Representative 037,Manipur,Constituency 037,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0038,MP Representative 038,Sikkim,Constituency 038,General,AAP,Lok Sabha,2024-06-01,0,147000000
MP0039,MP Representative 039,Andaman and Nicobar Islands,Constituency 039,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0040,MP Representative 040,Andhra Pradesh,Constituency 040,General,BJD,Rajya Sabha,2022-06-01,0,147000000
MP0041,MP Representative 041,Haryana,Constituency 041,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0042,MP Representative 042,Manipur,Constituency 042,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0043,MP Representative 043,Sikkim,Constituency 043,General,JD(U),Lok Sabha,2024-06-01,0,147000000
MP0044,MP Representative 044,Andaman and Nicobar Islands,Constituency 044,General,RJD,Lok Sabha,2024-06-01,0,147000000
MP0045,MP Representative 045,Andhra Pradesh,Constituency 045,General,YSRCP,Rajya Sabha,2022-06-01,0,147000000
MP0046,MP Representative 046,Haryana,Constituency 046,General,TDP,Lok Sabha,2024-06-01,0,147000000
MP0047,MP Representative 047,Manipur,Constituency 047,General,Other,Lok Sabha,2024-06-01,0,147000000
MP0048,MP Representative 048,Sikkim,Constituency 048,ST,BJP,Lok Sabha,2024-06-01,0,147000000
MP0049,MP Representative 049,Andaman and Nicobar Islands,Constituency 049,General,INC,Lok Sabha,2024-06-01,0,147000000
MP0050,MP Representative 050,Andhra Pradesh,Constituency 050,General,AAP,Rajya Sabha,2022-06-01,0,147000000
MP0051,MP Representative 051,Haryana,Constituency 051,General,TMC,Lok Sabha,2024-06-01,0,147000000
MP0052,MP Representative 052,Manipur,Constituency 052,General,BJD,Lok Sabha,2024-06-01,0,147000000
MP0053,MP Representative 053,Sikkim,Constituency 053,General,DMK,Lok Sabha,2024-06-01,0,147000000
MP0054,MP Representative 054,Andaman and Nicobar Islands,Constituency 054,ST,SP,Lok Sabha,2024-06-01,0,147000000
MP0055,MP Representative 055,Andhra Pradesh,Constituency 055,General,JD(U),Rajya Sabha,2022-06-01,0,147000000
MP0056,MP Representative 056,Haryana,Constituency 056,General,RJD,Lok Sabha,2024-06-01,0,147000000
