work_id,mp_id,state,district,constituency,work_category,work_subcategory,work_description,estimated_cost_inr,sanctioned_cost_inr,actual_expenditure_inr,recommendation_date,sanction_date,work_order_date,expected_completion_days,actual_completion_days,status,implementing_agency_id,contractor_id,latitude,longitude,inspection_done,photo_available,photo_location_match,similar_work_count_500m,payment_count,fraud_label,anomaly_type
MPLADS-W000001,MP0001,Haryana,District 001,Constituency 001,Community,Bus Shelter,Bus Shelter for public use in Constituency 001,3518788.5,3413982.01,3234754.13,2025-02-10,2025-03-21,2025-04-17,230,219,In Progress,AG0119,V00383,22.45291,83.3564,1,1,1,0,3,0,none
MPLADS-W000002,MP0001,Haryana,District 001,Constituency 001,Sports,Stadium Pavilion,Stadium Pavilion for public use in Constituency 001,3015140.65,2952087.27,2936686.01,2024-11-13,2024-12-16,2025-01-16,211,231,Completed,AG0119,V00383,22.50072,83.167736,1,1,1,0,4,0,none
MPLADS-W000003,MP0001,Haryana,District 001,Constituency 001,Drainage,RCC Drain,RCC Drain for public use in Constituency 001,2468904.18,2516955.4,2199306.61,2025-03-11,2025-04-19,2025-05-11,140,292,Completed,AG0019,V00142,22.395632,83.185556,1,1,1,0,2,1,delay_anomaly
MPLADS-W000004,MP0001,Haryana,District 001,Constituency 001,Community,Crematorium Shed,Crematorium Shed for public use in Constituency 001,1644989.17,1586228.22,1626581.18,2024-10-22,2024-11-26,2024-12-15,257,275,In Progress,AG0074,V00142,22.53289,83.202737,1,1,1,1,2,0,none
MPLADS-W000005,MP0001,Haryana,District 001,Constituency 001,Sports,Sports Complex,Sports Complex for public use in Constituency 001,4186695.07,6508411.99,8426807.33,2025-01-11,2025-02-15,2025-03-05,206,258,In Progress,AG0074,V00140,22.426655,83.121251,1,1,1,1,7,1,cost_anomaly
MPLADS-W000006,MP0001,Haryana,District 001,Constituency 001,Sports,Open Gym,Open Gym for public use in Constituency 001,1620424.73,1633704.55,1602512.78,2025-04-20,2025-05-25,2025-06-29,160,163,Completed,AG0074,V00383,22.342565,83.380124,1,1,1,0,2,0,none
MPLADS-W000007,MP0001,Haryana,District 001,Constituency 001,Health,Clinic Building,Clinic Building for public use in Constituency 001,3666067.92,3536840.49,3628180.06,2024-09-19,2024-10-29,2024-11-30,110,298,Completed,AG0019,V00383,22.571021,83.395045,1,0,1,0,2,1,delay_anomaly
MPLADS-W000008,MP0001,Haryana,District 001,Constituency 001,Sports,Stadium Pavilion,Stadium Pavilion for public use in Constituency 001,1514127.78,1542839.95,1512061.43,2024-05-02,2024-06-04,2024-07-02,189,196,In Progress,AG0119,V00140,22.490496,83.386861,1,1,1,1,2,0,none
MPLADS-W000009,MP0001,Haryana,District 001,Constituency 001,Sports,Sports Complex,Sports Complex for public use in Constituency 001,3389398.43,3480766.82,3534215.94,2025-07-27,2025-09-07,2025-10-01,189,185,Completed,AG0119,V00142,22.530291,83.224093,1,1,1,0,4,0,none
MPLADS-W000010,MP0001,Haryana,District 001,Constituency 001,Sports,Playground,Playground for public use in Constituency 001,2008651.4,1992044.13,2028117.38,2024-08-18,2024-10-04,2024-11-03,97,109,In Progress,AG0019,V00142,22.322728,83.250263,1,1,1,0,3,0,none
