Sr_No,State,MP_Name,Constituency,Allocated_Amount,Constituency_Type,Deviation,Deviation_Pct,Allocation_Bucket
1.0,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,General,43289442.0,29.45,₹14.7-20 Cr (Moderately High)
2.0,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,General,7773472.110000014,5.29,₹14.7-20 Cr (Moderately High)
3.0,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
4.0,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
5.0,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
6.0,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
7.0,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
8.0,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
9.0,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
10.0,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,ST,816309.1100000143,0.56,₹14.7-20 Cr (Moderately High)
11.0,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,General,41722256.110000014,28.38,₹14.7-20 Cr (Moderately High)
12.0,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,General,73500000.0,50.0,₹20-25 Cr (High)
13.0,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
14.0,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
15.0,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
16.0,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
17.0,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
18.0,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
19.0,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
20.0,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
21.0,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
22.0,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
23.0,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
24.0,Assam,AMARSING TISSO,Diphu (ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
25.0,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,General,54899064.110000014,37.35,₹20-25 Cr (High)
26.0,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
27.0,Rajasthan,AMRARAM,SIKAR,165691544.11,General,18691544.110000014,12.72,₹14.7-20 Cr (Moderately High)
28.0,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
29.0,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
30.0,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
31.0,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
32.0,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
33.0,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,General,-49000000.0,-33.33,< ₹10 Cr (Severely Low)
34.0,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
35.0,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
36.0,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
37.0,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
38.0,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
